title_english,content_english,link
Problem 15. Checking drugs,"Every day new drugs are synthesized around the world. All of them must be checked. Most often, the effects of drugs are tested on different animals. But this is long and expensive, large doses of the substance are needed. What to do if you need to test new drugs, but very few of them have been synthesized. How to check if they work at all?",https://www.trizland.ru/tasks/1245/
Problem 17. “Bird air conditioners”,"When it is hot, a person turns on the air conditioner or takes off some of his clothes... Birds do not have air conditioners. How do birds save themselves from the heat? Suggest possible ways (inventions) by which birds fight the heat.",https://www.trizland.ru/tasks/1246/
Problem 18. “Benefits from locusts?”,It happens that fields are attacked by locusts. The consequences are terrible! But what positive can come from locust raids?,https://www.trizland.ru/tasks/1247/
Problem 19. “Lazy predator”,"How can a predator not chase prey, but catch the prey? Suggest methods and specific biological solutions for lazy predators.",https://www.trizland.ru/tasks/1248/
Problem 20. “Do bees have intelligence?”,"Usually the behavior of animals is usually explained by innate instincts. But how, for example, can we explain behavior in an unusual environment in this way? Propose a series of experiments showing that living beings, such as bees, have intelligence that allows them to find a way out of unusual situations.",https://www.trizland.ru/tasks/1249/
Problem 21. “The bird defeats the snake”,"For snakes, bird eggs are a favorite treat. Birds need to preserve their offspring... So, a snake approaches the swallow’s nest to feast on the eggs. What should a swallow do?",https://www.trizland.ru/tasks/1250/
Problem 23. “Combating poaching”,"Many forests are inhabited by poachers who illegally shoot animals, causing significant damage to nature reserves. Moreover, the main problem is that it is difficult to catch a poacher at the crime scene. What to do? Suggest several ways to combat poachers.",https://www.trizland.ru/tasks/1651/
Problem 24. “Take honey from the “giants”,"A bee sting is an unpleasant event. What about a giant bee sting? So, giant bees live in Indonesia. These insects are extremely dangerous - their bite is fatal, but they bring a lot of honey. The bees' nests - up to one and a half meters in size - are suspended from tree branches. Local residents, despite the danger, manage to collect honey without casualties. How? Offer your solutions.",https://www.trizland.ru/tasks/1703/
Problem 25. “False eggs”,"Cuckoos shamelessly parasitize other birds, laying one egg at a time in their nests. At the same time, many birds do not notice someone else's egg. How do cuckoos manage to camouflage their eggs like this?",https://www.trizland.ru/tasks/1252/
Problem 26. “Recognition at the cost of life”,"Aleksandar Hemon's novel The Lazarus Project describes the situation of a photojournalist named Rora at a checkpoint in Sarajevo during the war between Orthodox Serbs and Muslims. “In one of the Chetniks, Rora recognized his pre-war poker partner... Rora recognized him by his eyes - he more than once looked intently into these eyes at a card table littered with the currencies of different countries. The name of the former gambler was Zloyutro; and he immediately recognized Rora. I checked his pass, looked at his face and sternly shook his head: they say, do you think I’m a fool, or what? And he asked: “Who are you, anyway?” Rora could have lied and called himself a Serb, but the Chetnik knew that this was not true; if Rora had admitted that he was a Muslim, he could have been accused of espionage - in either case, he would have been in trouble. And Rora said: “What did the photojournalist answer to get out of the sticky situation?",https://www.trizland.ru/tasks/5038/
Problem 27. Black Hand ,"The famous Italian actor Salvinia once, while playing the role of Othello, forgot to paint his hands black. He noticed his mistake already while on stage. The audience noticed too. How can an actor get out?",https://www.trizland.ru/tasks/1774/
Problem 28. Niels Bohr Medal,"In 1943, the greatest physicist of the 20th century, Nobel Prize winner in 1922, Niels Bohr, hiding under an assumed name, was forced to flee Nazi-occupied Denmark. The fishermen secretly transported him by boat to Sweden. You were not allowed to take any valuables with you. And even more so, a gold medal from a Nobel laureate, which, in the event of an unsuccessful operation, could immediately betray the scientist. Simply hiding the medal somewhere in Copenhagen or handing it over to someone for safekeeping was dangerous, unreliable and there was no time - there was a war going on... And yet, returning a few years later from the USA to Denmark after the war, Bohr received his medal in its original form. How did he do it?",https://www.trizland.ru/tasks/5041/
Problem 29. “How to get a tip?”,"After the reunification of Germany (Western and Eastern), restaurant owners in Florida (USA) began to have difficulties with German tourists. Interesting: Germany united, but problems arose in an American restaurant. Why suddenly? It's simple: East Germans began to travel and “drop in” to this very Florida restaurant. They just didn’t know how much it was customary to tip. And they inadvertently underpaid tips - unlike the West Germans, who knew the accepted rules and did it regularly. And who wants to miss out on their income? So the waiters began to think - what to do? West Germans, of course, give the required amount of tips themselves, and East Germans... can be included in the bill. You just need to “sort” West Germans from East Germans, and not offend any of them. How to do it?",https://www.trizland.ru/tasks/1775/
Problem 30. “Why did you climb a tree?”,"When going hunting, a mother bear leaves her cubs alone. But what’s interesting is that when she returns, the cubs behave very strangely. As soon as they see their mother, they climb thin trees. For what?",https://www.trizland.ru/tasks/1776/
Problem 32. “Railway against homeowners”,"In 1938, twenty homeowners in Baltimore, USA, sued the Pennsylvania Railroad, claiming that vibrations caused by passing trains were damaging the walls, ceilings and plaster of their homes. The houses stood along the street along which the railroad track ran. Several trains passed through it every day. Heavy trucks also drove along the street, but the process was organized only against the railway. And although representatives of the railway company were sure that the accusations were incorrect, they had no opportunity to refute them in court. Moreover, the jury members were not seismography specialists, but ordinary citizens. How can you clearly prove that vibration from passing trains does not destroy nearby houses?",https://www.trizland.ru/tasks/5048/
Problem 33. “How to determine the volume of a flask”,Legend has it that T.A. Edison instructed the mathematician Epton to determine the volume of the lamp bulb. Epton completed the task in just over an hour and proudly showed off his calculations. Then Edison showed how to do the same thing in a minute and much more accurately. How?,https://www.trizland.ru/tasks/5049/
Problem 34. “Fresh fish from winter fishing”,"During winter fishing, caught fish are most often left on the ice. As a result, it freezes and the taste deteriorates. Suggest a way to preserve caught fish from freezing while fishing.",https://www.trizland.ru/tasks/1254/
Problem 38. “Fly on the ceiling”,"Each of us has seen a fly land on the ceiling more than once. She flies up to the ceiling, naturally, with her back up. However, how does she sit on the ceiling?",https://www.trizland.ru/tasks/1517/
Problem 39. “Is a camel hot in the heat?”,A camel can go without drinking for two weeks. What inventions of nature allow him to live for a long time without water? How does it minimize water consumption?,https://www.trizland.ru/tasks/1711/
Problem 40. “Algae in Antarctica?”,Antarctica region. Very cold. Thick ice and a thick layer of water. The light cannot penetrate to the bottom. But plants cannot live without light. But polar algae have adapted to such conditions. How?,https://www.trizland.ru/tasks/1710/
Problem 42. “Uninvited washermen”,"There is a washing machine in the hostel (as in the picture). And so strangers got into the habit of doing laundry in this machine. How to prevent them from doing this without making any changes to the design of the machine, using standard means that you can buy in a store.",https://www.trizland.ru/tasks/5051/
Problem 43. “Don’t get caught in your own network”,"The circular web of spiders has amazed more than one generation of scientists and artists with its form and practicality. It is also good from a technical point of view: a relatively large area is covered with the least amount of spider silk. At the same time, the net is elastic and at the same time strong: it can withstand gusts of wind and jerks from struggling prey. To securely hold the prey, the net must be sufficiently sticky. But how then does the spider running on the web not stick to its own trap?",https://www.trizland.ru/tasks/1258/
Problem 44. “How do they steal purebred dogs?”,"Purebred dogs are expensive. Everyone knows this. Crooks too. They steal dogs, often during walks, when the owner can let his dog go for a walk without a leash. In what ways can a dog that the owner let go for a walk be taken away?",https://www.trizland.ru/tasks/1259/
Problem 45. “Hull – in half”,"Sometimes small things lead to serious accidents. For example, in the history of maritime disasters there is a curious case. The ship carrying peas received a small hole. Only one compartment of the hold was flooded, which did not pose a danger. However, this ship sank - the ship's hull was torn in half. And the reason for this was this small hole. Can you restore the situation and find out what happened and how?",https://www.trizland.ru/tasks/1813/
Problem 49. Catch a big and very big fish,"When fishing commercially, fishermen cast a trawl and a lot of fish fall into it. But full nets under water are not yet a catch. While the nets are being lifted, half of the fish caught in the net manage to escape. How can you prevent fish from escaping without complicating your net?",https://www.trizland.ru/tasks/1635/
Problem 50. Catch a curious fish...,"Humanity invented nets and fishing rods not very long ago. And before that, of course, they weren’t abandoned. How did Stone Age people fish in the coastal zone of the sea without nets and fishing rods?",https://www.trizland.ru/tasks/1636/
Problem 51. “Naked in winter”,"For living beings, warm winter shoes are a natural phenomenon. Another surprising thing is that some animals and birds do not start anything for themselves before winter. Take a closer look at the pigeons, what are they wearing as they splash around in the snow? Of course, the skin on the paws is much thicker than on other parts of the body, and is also covered with scales. But such skin cannot save you from the cold. How do birds dressed so frivolously manage to safely endure harsh winters?",https://www.trizland.ru/tasks/1638/
Problem 55. “How a sparrow flies”,"How do sparrows fly in a very strong wind, considering that this bird does not fly, but jumps along the trajectory of its flight? They cannot stay in flight for long, because the heart cannot stand it - it will “break.” An example of this weakness is very well known when China tried to get rid of sparrows that were eating their rice crops. The birds were not allowed to land for a long time, and the sparrows fell dead. The question is - how can she move in a strong wind that blows her away? Just don’t say that on foot, there’s already been a joke about that!",https://www.trizland.ru/tasks/5053/
Problem 56. “Is the painting a fake?”,"An Austrian museum decided to buy a painting by a famous artist in France. Its authenticity was confirmed by competent experts. In their presence, the notary put a stamp on the back of the canvas, certifying its authenticity. In the Austrian museum, where it was delivered with all precautions, they carried out a second examination, and it turned out that the painting was a fake! Detectives analyzed the situation. It turned out that a group of French experts correctly determined that the painting was original. The notary's seal was also not copied. How did the substitution occur? Any versions?",https://www.trizland.ru/tasks/1779/
Problem 57. “Lizard into the ground”,"Speed ​​at the moment of danger is the most important quality for a potential victim. In most cases, life depends on speed. The round-headed lizard quickly buries itself in the ground when in danger. How does it do this? Offer your options.",https://www.trizland.ru/tasks/1709/
Problem 58. “Asphalt road without bitumen”,"Asphalt consists mainly of sand and bitumen. Bitumen (similar to black tar) is one of the products that is obtained from petroleum. To build one kilometer of asphalt road, the amount of bitumen required is equal to that produced from 320 barrels of oil. Oil is expensive. And if you need to build, for example, 87 thousand kilometers of asphalt roads, the cost of bitumen will cost a pretty penny. Bitumen has another undesirable effect: this material is dangerous for the environment. How else can grains of sand be bonded together to get a cheap and an asphalt-like road surface that is safe for nature? Suggest a solution.",https://www.trizland.ru/tasks/5054/
Problem 62. The Gardener's Revenge ,"In the garden of a certain sage there lived a magnificent peacock. The bird was the gardener's delight. He nurtured and cherished her. And the envious and greedy neighbor still could not come to terms with the fact that someone had a peacock more beautiful than his. Out of envy, he threw stones at the bird. The gardener saw this and became very angry. But the neighbor decided to flatter the gardener and asked him to give him one chick. The gardener flatly refused. Then the neighbor humbly turned to the owner with a request to give one peacock egg to put on the hen, and she would hatch the chick. The owner asked the gardener to give his neighbor an egg from a peacock clutch. The gardener complied with the command. After some time, an angry neighbor came to the owner with a complaint: “There is something wrong with the egg, my hens sat on it for weeks, but the chick did not hatch.” The owner called the gardener: “You gave our neighbor an egg. Why didn’t a peacock chick hatch from it?” What happened?",https://www.trizland.ru/tasks/1780/
Problem 64. “How to detect a submarine?”,"Enemy submarines impudently plow the waters of our Motherland. Hiding in the water column, they are practically invisible and undetectable. Help your Motherland and suggest ways to detect submarines.",https://www.trizland.ru/tasks/1264/
Problem 65. “Match equation”,Rearrange one match so that it is equal.,https://www.trizland.ru/tasks/5055/
Problem 66. “Do not spoil the mycelium”,"The basic rule when picking mushrooms is not to disturb the mycelium. If you cut it with a knife, the base of the stem remains in the ground, which means that the remaining part can rot and spoil the mycelium. What should I do?",https://www.trizland.ru/tasks/1265/
Problem 68. “Wet goose?”,"Australian naturalist K. Lorenz conducted an experiment: he took goslings that had just hatched from eggs in an incubator, and began to walk with them instead of the goose. It turned out that the feathers of goslings left without a mother get wet in water, while the feathers of goslings with their mother do not get wet. Why? What experiments need to be carried out to test the hypotheses obtained? Lorenz tried to lubricate the goslings with fat, but this did not help much.",https://www.trizland.ru/tasks/1267/
Problem 70. Escape of the ostriches ,"At the end of the 19th century, Karl Hagenbeck supplied all zoos in Europe with wild animals. They were often led in a caravan containing various animals. Once ostriches escaped from such a caravan, but they were returned. And without any problems - without re-capture. How? Offer your options.",https://www.trizland.ru/tasks/1269/
Problem 71. “Elephant Hunting”,"Elephant hunting is carried out only by experienced hunters who can act in a coordinated manner. If an elephant is surrounded, it violently rushes at the hunters. And the object of attack is usually a light-colored horse (especially a gray one), on which one of the hunters is riding. Why?",https://www.trizland.ru/tasks/1270/
Problem 72. “Why is he so curly?”,Why do Africans have such curly hair? Any hypotheses?,https://www.trizland.ru/tasks/1271/
Problem 73. Goose bumps,Why do people get goose bumps? What happens in the human body?,https://www.trizland.ru/tasks/1272/
Problem 74. “On the happiness of having two wives”,"One sheikh achieved the highest happiness on earth: he had two wives. Filled with joy, he went to the market and bought two identical gold necklaces and presented them to his wives, asking each not to tell the other about it. But earthly happiness is rarely cloudless. One fine day, both wives came to him, beside themselves with jealousy, and attacked him with questions: “Tell us, most magnificent of men, which of us do you love most?” “My dears, more than anything in the world I love you,” the sheikh answered, trying to calm them down. “No, no,” the wives protested. “We want to know which of the two of us you give your greatest love to?” “My adored ones, why are you quarreling?” I enclosed you both in my heart. But this was not enough for the wives. “You won’t get rid of us like that.” Come on, admit it, which of us is the mistress of your heart? What should a wise sheikh do?",https://www.trizland.ru/tasks/1781/
Problem 75. “Riot of the horse”,"That was a long time ago. In one village, one man took revenge on his offender: his horse did not want to enter his yard. During the civil war in Siberia, local residents used a similar method to get rid of punitive raids. What kind of method is this?",https://www.trizland.ru/tasks/1273/
Problem 77. “The most interesting exhibit”,"In one large European museum - many halls, many exhibits - they decided to check which exhibits attract the attention of visitors the most? How to do this without resorting to the help of outside experts? Offer options.",https://www.trizland.ru/tasks/5056/
Problem 78. “Children don’t go for a walk in Africa”,"A travel agency with a narrow specialization - exotic tours to the wild African jungle - was faced with a problem. Attracted by the unusual journey, the groups included people who had never gone anywhere except for a picnic in the company of office colleagues. During the trip, instead of relaxation and adventure, they received only fears and nervous breakdowns. This created inconvenience for both the organizers and other tourists. It would be good to know in advance how a person will behave in a wild environment. But how to do that?",https://www.trizland.ru/tasks/5057/
Problem 79. Dishwasher Dog,"When the Quonab Indian thought it was necessary to wash the dishes, he put them on the ground and let his dog Skookum lick them. This method completely satisfied Quoneb and delighted the dog, but the 12-year-old boy Rolf did not like it. However, the Indian told him: “Skookum eats the same food as we do.” You argue because you don’t understand anything. Rolf was washing the dishes “washed” by the dog, and Quonab’s uncleanliness irritated him. How can you make sure that the Indian himself never lets the dog lick the dishes again?",https://www.trizland.ru/tasks/1782/
Problem 80. “Axle and nut”,"The situation at the Kanash plant. Cars are being repaired. When repairing a wheeled trolley, the nuts are placed on mastic so that they do not come loose when the car moves. And when the car comes for repairs, they cannot unscrew this nut. Traditional technology: Uncle Vasya takes a meter-long wrench, places it on the nut and hits the wrench with a hammer! Sooner or later the nut will give in, but how much sweat will come off Uncle Vasya! And how much time it takes! We purchased a machine for loosening nuts in France. Paid thousands of dollars! The latest technology: The machine twists the carriage axle, and the nut fits like a glove! What should I do?",https://www.trizland.ru/tasks/5058/
Problem 81. “Where will kings be born?”,"During World War II, London was home to the Yugoslav government in exile and King Peter II of Yugoslavia with his family. The royal family lived in the Claridges Apartments. The wife of 20-year-old Peter the Second, Queen Alexandra, was expecting the birth of an heir to the throne. But according to the Yugoslav law on succession to the throne, the king must be born on the territory of his country. Peter the Second and the courtiers were in panic. After all, the heir would not be able to become king. But it was impossible to return to the territory of Yugoslavia then. Something had to be done. And what?",https://www.trizland.ru/tasks/1741/
Problem 82. “Dusty cloud of lime”,"When lime powder (CaO) is poured from a PET bag to dissolve it into the hatch of the reactor tank, a cloud of toxic dust is formed. Naturally, the installation operator works in a sealed suit and a gas mask. But the cloud spreads throughout the workshop. Your suggestions?",https://www.trizland.ru/tasks/5059/
Problem 83. “Suicide… or is it still murder?”,"Sometimes whales and dolphins wash up on shallows and shores, and for no apparent reason. This still remains a mystery to scientists. The echolocation system of cetaceans is perfect. Thus, a dolphin emits sounds with a frequency from 49 to 170 kilohertz. If he makes low-frequency sounds, he has a general, vague image of his surroundings. If he needs a clearer image, he increases the frequency. And it can distinguish, for example, small balls of barely different diameters. The dolphin's echolocation allows it to see every fish in the school that it hunts. And with such sensitivity, cetaceans suddenly crash into the shore... Suggest hypotheses that explain this phenomenon. Also consider ways to prevent whale strandings.",https://www.trizland.ru/tasks/1275/
Problem 84. Chinese insignia,"Once in the Chinese army they decided to get rid of all the visible distinctive signs of military rank... But differences in reality are needed, at least in order to know who gave the order, whether he has authority and so on, related to the chain of command in the army.. What to do?",https://www.trizland.ru/tasks/5060/
Problem 85. “Impregnable barn”,"For a long time, peasants in the Spanish province of Asturias stored provisions in large barns called “orreos.” It was a structure on oak hewn quadrangular pillars. The food was stored outdoors, but neither caterpillars nor rodents could reach it. Why?",https://www.trizland.ru/tasks/5063/
Problem 86. “Forest planting”,"After cutting down a forest, a new one is planted. But before this, it is necessary to free the soil from old rhizomes and larvae of harmful insects. How to do this and, if possible, with minimal costs? Offer some ideas.",https://www.trizland.ru/tasks/1260/
Problem 86. “Setting up “quietly””,"Piano tuners are endowed not only with hearing from God, but also with angelic patience. For neighbors, this is many hours of torment. After all, they don’t have that kind of patience. The tuner makes each of the three strings that make up the “mode” sound at least three times – higher, lower and “exactly”. And there are many such strings. And there are a lot of sounds. It would be nice to set it up so as not to irritate the owners and neighbors. How to do this?",https://www.trizland.ru/tasks/1783/
Problem 87. “Sheep with a “collar””,There are ecologically sensitive areas in Ireland,https://www.trizland.ru/tasks/1784/
Problem 89. “A fish wants to fly like a plane”,"Sensation! The plane collided with a fish! During the flight, a passenger plane of the Alaskan company Alaska Airlines Flight 61 collided with... a fish. As a result, the plane received a large dent on the fuselage. Clarify the situation: how this could have happened.",https://www.trizland.ru/tasks/1665/
Problem 90. “Hemp on the banks of the Hudson”,"More than 20 thousand cannabis plants were found by police on the banks of the Hudson River opposite Mathetan. However! These plants appeared where no one thought and no one looked! And they were found by chance - paying attention to unusual behavior... However, think for yourself - how did these plants appear?",https://www.trizland.ru/tasks/1786/
Problem 91. “Cast Iron Woman”,"They say: “To break does not build.” However, demolishing an old house is sometimes no easier than building a new one. We have to resort to the “cast iron woman”, explosives and other crude methods. This takes a long time and creates a lot of noise. But if the house is made of reinforced concrete, and even more so, of pre-stressed concrete, then it will definitely not be a hassle. But maybe there are more effective ways than the “cast iron woman”? Let's try to come up with something?!",https://www.trizland.ru/tasks/1787/
Problem 92. “Go to the toilet spontaneously”,"In England, in a nursing home located by the sea, an unusual phenomenon constantly occurred: several residents of this house, for an unknown reason, urinated spontaneously and at the same time. Doctors and administrative staff could not understand what was going on. Find out what is the reason for such an unusual phenomenon?",https://www.trizland.ru/tasks/1788/
Problem 93. Birds and Power Lines,"The number of birds killed on high-voltage wires, supports and masts of power lines cannot be counted. There are so many of them. And there are over 5 million supports of 6-10 kilovolt lines in the CIS. For example, in the steppes of Southern Russia, for 30 km. Power lines usually contain up to 70 dead birds, which, by the way, have long been listed in the Red Book. In the city of Zhigulevsk (Kuibyshev region) there are few trees and material for nests. After power lines appeared there, crows and jackdaws took a fancy to them and began to settle in, carrying pieces of wire and mesh from factories and warehouses. Short circuits followed one after another. Local authorities created teams that drove along power lines and removed nests. Not a very ideal solution I must say. How to save birds?",https://www.trizland.ru/tasks/1623/
Problem 95. “Slow down the laptem?”,Half a meter. A meter. Five meters. That's what's sometimes missing. Just a little run over and there's an accident. The car is smashed to smithereens,https://www.trizland.ru/tasks/1789/
Problem 96. “Ant in Law”,"There are thieves among ants too. They steal eggs and larvae from other ants in the anthill. The most interesting thing is that small ants steal from large ones. If a big ant gets caught by a thief, he won’t think it’s enough. But, as practice has shown, thieves are extremely rarely caught. Why?",https://www.trizland.ru/tasks/1639/
Problem 97. “Ant doesn’t need an anthill?”,"Ants live mainly underground. However, you can often see huge anthills in the forest. Why do insects need them? And why do ants always carry material into an already built house? Offer your versions of situations. Suggest ideas for experiments to test these versions.",https://www.trizland.ru/tasks/1640/
Problem 99. Guardians of the Gate ,"There are many entrance holes in the anthill through which working individuals enter and exit. There is no way to seal them for a long time, and you can’t make a gate either. What should you do to prevent someone else from slipping in? Set up security. Look, they will take her and carry her away. So what should we do?",https://www.trizland.ru/tasks/1644/
Problem 100. “Who didn’t hide…”,"Birds eat insects. Especially in Africa. But how to catch them in places where very tall grass has grown? Insects hide in the grass, they are not visible. How do birds still get their food?",https://www.trizland.ru/tasks/1608/
Problem 101. “How to reduce viscosity?”,"Car enthusiasts use hand pumps and plant sprayers (for example, OG-2) for anti-corrosion treatment of cars. But it sprays water, kerosene and other non-viscous liquids. But oil is not. You can heat the oil and it will become less viscous, but this will damage the pump. You can add solvents to the oil, but this will also damage the pump. What should I do?",https://www.trizland.ru/tasks/1791/
Problem 102. “Did you order a fight?”,"Scientists observed lizards kept in captivity in a terrarium. It has been noticed that there are frequent fights between males for leadership. And, ultimately, one lizard becomes a leader, the other a “subordinate.” Scientists decided to check: 1. What will happen if the leader and subordinate are switched?2. How will lizards behave if they are not given the opportunity to fight for a long time? The problem, first of all, is how to provide “conditions” so that: - lizards “swap” places in the hierarchy - for the first type of experiments; - lizards do not fight - for the second type experiments. How to create such “conditions”?",https://www.trizland.ru/tasks/1793/
Problem 104. “Take everything out”,"The management of the very old, prestigious and expensive Atrium Hotel in Darwin (Australia) decided to completely renovate and refurbish its rooms. To do this, it was necessary first of all and in a short time to get rid of everything that was in the rooms: beds, televisions, tables, chairs, paintings, linen and towels, equipment from the bathrooms and everything that was not firmly attached to the walls . But it turned out that the cost estimate for the repair and refurbishment of the hotel rooms did not include money for “cleaning.” Still, a solution was found! Moreover, an additional positive PR effect was obtained. What do you suggest?",https://www.trizland.ru/tasks/1816/
Problem 105. “Did you order help?”,"Is it easy to ask for help? It couldn't be easier! Take it and ask. Although, this, in general, depends on the “size of the request.” Well, what if the request is not very big? Is it easy then to ask for help? Easy. Just tell me. That's bad luck - what if there is no one to ask? But here they are – “people” – nearby. Is it worth asking for help now? No problem, go ahead and ask. No problem? What if there are problems with speech? Or you live in a society where making a public request is not welcomed, or rather, condemned. Well, let’s see how easy it is. Japan. Shame culture. These are the cultural characteristics: a Japanese woman would prefer to grit her teeth and endure the advances of a bully in a crowded subway car than to ask for help. A Japanese woman, of course, wants to help herself, but it’s not customary in society to ask for help. Help solve her problem.",https://www.trizland.ru/tasks/1817/
Problem 106. “What is the loot?”,"Human curiosity has no limits. Everyone wants to know. Everyone wants to count. How many stars are there in the sky? How many drops of water are there in the ocean? How many animals are there on Earth? How much does an ant eat?.. Yes. How much does an ant eat? So the scientists asked this question - they wanted to determine the nutritional regime of one anthill. And for this we decided to establish the amount of production of an anthill in 1 hour. By the way, it is extremely undesirable to disrupt the rhythm of life of an anthill, since the result, in this case, will obviously be inaccurate, and the result obtained will be for unnatural conditions. So, how to measure the amount of food an anthill has per unit time without disturbing its natural habitat? Offer ideas and hypotheses.",https://www.trizland.ru/tasks/1818/
Problem 107. “Man in the elevator”,"A man lives on the tenth floor. Every day he takes the elevator down and goes to work or to the store. When he returns home, he takes the elevator to the seventh floor and then walks up. Why does he do this?",https://www.trizland.ru/tasks/5064/
Problem 108. “Bombs down!”,"One night during World War II, an Allied plane was flying over Germany. The plane was in excellent condition and everything worked fine. When it reached its target, the pilot ordered the bomb bay to be opened. It opened. Then the pilot ordered the bombs to be released from their locks. The bombs were released. But they did not fall out of the plane. Why?",https://www.trizland.ru/tasks/5065/
Problem 109. Two Americans,Two Americans stand at the entrance to the British Museum. One of them is the father of the other's son. How is this possible?,https://www.trizland.ru/tasks/5066/
Problem 110. “The Bedouin problem. Where can I get a man?”,"The birth of a son is a real holiday for Bedouins. In honor of this event, a sheep is supposed to be slaughtered and a feast is held. However, if the child’s father is away at that moment, then there is no one to slaughter the sheep - this is a purely male matter, a woman has no right to do this. It is also indecent to turn to other men for help. How to slaughter a sheep?",https://www.trizland.ru/tasks/1795/
Problem 111. “Strange house”,"One wealthy lady really wanted to have a new home. She liked it when the sun shined through the windows, so she asked the builders to build a house in which all four walls were south-facing. After much thought, the designer was able to create such a house. How did he do it?",https://www.trizland.ru/tasks/5067/
Problem 112. Chess piece ,Two grandmasters played five games of chess. Each of them won and lost the same number of games. They didn't draw a single game. How could this happen?,https://www.trizland.ru/tasks/5068/
Problem 113. Happiness and sadness,"Three women in swimsuits stood nearby. Two of them were sad, and one was happy. But the sad women smiled, and the happy one cried. Why?",https://www.trizland.ru/tasks/5069/
